team,ranking,games,wins,draws,losses,goalsFor,goalsAgainst,yellowCards,redCards,,,,goals for/goals against,
Brazil,1,5,3,1,1,9,4,7,2,,,Problem-1,2.25,
Spain,2,6,5,0,1,7,2,3,0,,,,3.5,
Portugal,3,4,1,2,1,7,1,8,1,,,,7,
Netherlands,4,6,6,0,0,12,5,15,0,,,,2.4,
Italy,5,3,0,2,1,4,5,5,0,,,,0.8,
Germany,6,6,4,0,2,13,3,8,1,,,,4.33,
Argentina,7,5,4,0,1,10,6,7,0,,,,1.67,
England,8,4,1,2,1,3,5,6,0,,,,0.6,
France,9,3,0,1,2,1,4,6,1,,,,0.25,
Greece,13,3,1,0,2,2,5,5,0,,,,0.4,
USA,14,4,1,2,1,5,5,9,0,,,,1,
Serbia,15,3,1,0,2,2,3,8,1,,,,0.67,
Uruguay,16,6,3,2,1,9,5,8,2,,,,1.8,
Mexico,17,4,1,1,2,4,5,9,0,,,,0.8,
Chile,18,4,2,0,2,3,5,13,1,,,,0.6,
Cameroon,19,3,0,0,3,2,5,5,0,,,,0.4,
Australia,20,3,1,1,1,3,6,7,2,,,,0.5,
Nigeria,21,3,0,1,2,3,5,5,1,,,,0.6,
Switzerland,24,3,1,1,1,1,1,8,1,,,,1,
Slovenia,25,3,1,1,1,3,3,9,0,,,,1,
Ivory Coast,27,3,1,1,1,4,3,5,0,,,,1.33,
Algeria,30,3,0,1,2,0,2,4,2,,,,0,
Paraguay,31,5,1,3,1,3,2,9,0,,,,1.5,
Ghana,32,5,2,2,1,5,4,11,0,,,,1.25,
Slovakia,34,4,1,1,2,5,7,11,0,,,,0.71,
Denmark,36,3,1,0,2,3,6,6,0,,,,0.5,
Honduras,38,3,0,1,2,0,3,7,0,,,,0,
Japan,45,4,2,1,1,4,2,7,0,,,,2,
South Korea,47,4,1,1,2,6,8,6,0,,,,0.75,
New Zealand,78,3,0,3,0,2,2,6,0,,,,1,
South Africa,83,3,1,1,1,3,5,4,1,,,,0.6,
North Korea,105,3,0,0,3,1,12,2,0,,,,0.08,
,,,,,,,,,,,,,,
Which team has the highets ratio of goals for/goals against,,,,,,,,,,,,,7,Portugal
