surname,"team containing ""ai""",position,minutes,shots,passes,tackles,saves,"player on a team with ""ia"" in the team name played
less than 200 minutes and made more than 100 passes",,,"What player on a team with ""ia"" in the team name played less than 200 minutes and made more than 100 passes"
Abdoun,Algeria,midfielder,16,0,6,0,0,FALSE,,,
Belhadj,Algeria,defender,270,1,146,8,0,FALSE,,,Kuzmanovic
Boudebouz,Algeria,midfielder,74,3,28,1,0,FALSE,,,
Bougherra,Algeria,defender,270,1,89,11,0,FALSE,,,
Chaouchi,Algeria,goalkeeper,90,0,17,0,2,FALSE,,,
Djebbour,Algeria,forward,123,3,19,1,0,FALSE,,,
Ghezzal,Algeria,forward,40,3,8,0,0,FALSE,,,
Guedioura,Algeria,midfielder,38,0,18,1,0,FALSE,,,
Halliche,Algeria,defender,270,2,94,4,0,FALSE,,,
Kadir,Algeria,midfielder,262,0,104,3,0,FALSE,,,
Lacen,Algeria,midfielder,270,0,158,8,0,FALSE,,,
M'Bolhi,Algeria,goalkeeper,180,0,30,0,12,FALSE,,,
Matmour,Algeria,midfielder,255,3,68,3,0,FALSE,,,
Mesbah,Algeria,midfielder,1,0,1,0,0,FALSE,,,
Saifi,Algeria,forward,15,1,3,0,0,FALSE,,,
Yahia,Algeria,defender,269,1,79,4,0,FALSE,,,
Yebda,Algeria,midfielder,269,8,138,10,0,FALSE,,,
Ziani,Algeria,midfielder,240,5,93,6,0,FALSE,,,
Beauchamp,Australia,defender,90,0,33,2,0,FALSE,,,
Bresciano,Australia,midfielder,132,3,47,1,0,FALSE,,,
Cahill,Australia,midfielder,146,6,39,1,0,FALSE,,,
Carney,Australia,defender,180,0,56,4,0,FALSE,,,
Chipperfield,Australia,midfielder,138,2,50,3,0,FALSE,,,
Culina,Australia,midfielder,270,4,153,0,0,FALSE,,,
Emerton,Australia,midfielder,254,1,89,3,0,FALSE,,,
Garcia,Australia,midfielder,72,2,24,3,0,FALSE,,,
Grella,Australia,midfielder,45,0,18,2,0,FALSE,,,
Holman,Australia,forward,138,3,49,2,0,FALSE,,,
Jedinak,Australia,midfielder,16,0,15,0,0,FALSE,,,
Kennedy,Australia,forward,112,3,29,1,0,FALSE,,,
Kewell,Australia,midfielder,24,0,7,1,0,FALSE,,,
Moore,Australia,defender,180,1,91,3,0,FALSE,,,
Neill,Australia,defender,270,1,135,4,0,FALSE,,,
Rukavytsya,Australia,forward,32,1,12,0,0,FALSE,,,
Schwarzer,Australia,goalkeeper,270,0,51,0,13,FALSE,,,
Valeri,Australia,midfielder,245,0,135,5,0,FALSE,,,
Wilkshire,Australia,midfielder,256,2,117,8,0,FALSE,,,
Afolabi,Nigeria,defender,103,0,38,1,0,FALSE,,,
Ayila Yussuf,Nigeria,midfielder,90,0,44,1,0,FALSE,,,
Echiejile,Nigeria,defender,67,0,22,1,0,FALSE,,,
Enyeama,Nigeria,goalkeeper,270,0,30,0,20,FALSE,,,
Etuhu,Nigeria,midfielder,270,0,111,5,0,FALSE,,,
Haruna,Nigeria,midfielder,180,1,77,3,0,FALSE,,,
Kaita,Nigeria,midfielder,123,2,45,2,0,FALSE,,,
Kanu,Nigeria,forward,57,0,18,0,0,FALSE,,,
Martins,Nigeria,forward,71,2,16,0,0,FALSE,,,
Obasi,Nigeria,forward,195,6,62,8,0,FALSE,,,
Odemwingie,Nigeria,forward,75,0,28,1,0,FALSE,,,
Odiah,Nigeria,defender,270,0,107,5,0,FALSE,,,
Shittu,Nigeria,defender,270,0,61,5,0,FALSE,,,
Taiwo,Nigeria,defender,129,3,36,4,0,FALSE,,,
Uche,Nigeria,midfielder,196,6,73,2,0,FALSE,,,
Victor Obinna,Nigeria,forward,72,3,25,4,0,FALSE,,,
Yakubu,Nigeria,forward,250,6,43,2,0,FALSE,,,
Yobo,Nigeria,defender,225,0,52,2,0,FALSE,,,
Ivanovic,Serbia,defender,270,3,115,2,0,FALSE,,,
Jovanovic,Serbia,midfielder,245,4,65,2,0,FALSE,,,
