surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Sapara,Slovakia,midfielder,2,0,5,0,0,2.50,,,,,,
Inamoto,Japan,midfielder,3,0,5,0,0,1.67,,,,,Slovakia,2.5
Amorim,Portugal,midfielder,5,1,7,0,0,1.40,,,,,,
Veron,Argentina,midfielder,185,3,235,10,0,1.27,,,,,,
Fabregas,Spain,midfielder,94,1,116,2,0,1.23,,,,,,
Pastore,Argentina,midfielder,37,2,44,3,0,1.19,,,,,,
Josue,Brazil,midfielder,46,0,54,1,0,1.17,,,,,,
Veloso,Portugal,midfielder,26,1,30,1,0,1.15,,,,,,
Xavi,Spain,midfielder,515,4,563,6,0,1.09,,,,,,
Afellay,Netherlands,midfielder,21,5,22,0,0,1.05,,,,,,
Mesbah,Algeria,midfielder,1,0,1,0,0,1.00,,,,,,
Javi Martuenez,Spain,midfielder,17,0,17,0,0,1.00,,,,,,
Bolatti,Argentina,midfielder,98,2,97,4,0,0.99,,,,,,
Jedinak,Australia,midfielder,16,0,15,0,0,0.94,,,,,,
Arbeloa,Spain,defender,13,0,12,0,0,0.92,,,,,,
Alonso,Spain,midfielder,506,9,465,18,0,0.92,,,,,,
Busquets,Spain,midfielder,511,0,466,15,0,0.91,,,,,,
Melo,Brazil,midfielder,291,2,249,12,0,0.86,,,,,,
Chedjou,Cameroon,midfielder,90,2,77,2,0,0.86,,,,,,
Romaric,Ivory Coast,midfielder,98,5,82,4,0,0.84,,,,,,
Pirlo,Italy,midfielder,34,0,28,0,0,0.82,,,,,,
Palermo,Argentina,forward,10,3,8,0,0,0.80,,,,,,
Rodriguez,Argentina,defender,90,1,72,1,0,0.80,,,,,,
Grafite,Brazil,forward,5,0,4,0,0,0.80,,,,,,
Ortigoza,Paraguay,midfielder,75,0,60,5,0,0.80,,,,,,
Juan Mata,Spain,midfielder,20,1,16,0,0,0.80,,,,,,
Schweinsteiger,Germany,midfielder,531,5,423,23,0,0.80,,,,,,
Caceres,Paraguay,defender,90,0,71,0,0,0.79,,,,,,
de Zeeuw,Netherlands,midfielder,47,0,37,2,0,0.79,,,,,,
Makoun,Cameroon,midfielder,210,4,164,2,0,0.78,,,,,,
Kopunek,Slovakia,midfielder,22,1,17,0,0,0.77,,,,,,
De Rossi,Italy,midfielder,270,3,204,9,0,0.76,,,,,,
Komac,Slovenia,midfielder,4,0,3,1,0,0.75,,,,,,
Shaqiri,Switzerland,midfielder,12,0,9,0,0,0.75,,,,,,
