surname,team,position,minutes,shots,passes,tackles,saves,players on a team ranked under 10 played more than 350 minutes or not,,,,How many players on a team ranked under 10 played more than 350 minutes
Aguero,Argentina,forward,106,2,57,2,0,No,,,,
Bolatti,Argentina,midfielder,98,2,97,4,0,No,,,,54
Burdisso,Argentina,defender,341,1,167,1,0,No,,,,
Demichelis,Argentina,defender,450,1,218,7,0,Yes,,,,
Di Maria,Argentina,midfielder,356,7,148,12,0,Yes,,,,
Gutierrez,Argentina,midfielder,191,0,83,11,0,No,,,,
Heinze,Argentina,defender,360,3,188,6,0,Yes,,,,
Higuain,Argentina,forward,341,13,93,5,0,No,,,,
Mascherano,Argentina,midfielder,360,0,237,19,0,Yes,,,,
Maxi Rodriguez,Argentina,midfielder,346,2,218,9,0,No,,,,
Messi,Argentina,forward,450,21,321,10,0,Yes,,,,
Milito,Argentina,forward,91,0,33,0,0,No,,,,
Otamendi,Argentina,defender,250,0,141,6,0,No,,,,
Palermo,Argentina,forward,10,3,8,0,0,No,,,,
Pastore,Argentina,midfielder,37,2,44,3,0,No,,,,
Rodriguez,Argentina,defender,90,1,72,1,0,No,,,,
Romero,Argentina,goalkeeper,450,0,47,0,10,Yes,,,,
Samuel,Argentina,defender,114,2,43,1,0,No,,,,
Tevez,Argentina,forward,324,6,164,7,0,No,,,,
Veron,Argentina,midfielder,185,3,235,10,0,No,,,,
Baptista,Brazil,midfielder,82,0,42,1,0,No,,,,
Daniel Alves,Brazil,defender,310,11,215,6,0,No,,,,
Elano,Brazil,midfielder,140,5,57,6,0,No,,,,
Fabiano,Brazil,forward,418,9,89,4,0,Yes,,,,
Gilberto,Brazil,defender,33,0,6,4,0,No,,,,
Gilberto Silva,Brazil,midfielder,450,3,299,11,0,Yes,,,,
Grafite,Brazil,forward,5,0,4,0,0,No,,,,
Josue,Brazil,midfielder,46,0,54,1,0,No,,,,
Juan,Brazil,defender,450,4,223,9,0,Yes,,,,
Julio Cesar,Brazil,goalkeeper,450,0,69,0,10,Yes,,,,
Kaka,Brazil,midfielder,337,6,139,2,0,No,,,,
Kleberson,Brazil,midfielder,9,0,1,0,0,No,,,,
Lucio,Brazil,defender,450,1,223,14,0,Yes,,,,
Maicon,Brazil,defender,450,6,249,11,0,Yes,,,,
Melo,Brazil,midfielder,291,2,249,12,0,No,,,,
Michel Bastos,Brazil,defender,422,7,224,14,0,Yes,,,,
Nilmar,Brazil,forward,129,5,18,3,0,No,,,,
Ramires,Brazil,midfielder,105,3,53,3,0,No,,,,
Robinho,Brazil,forward,354,9,181,5,0,Yes,,,,
Ashley Cole,England,defender,360,0,142,12,0,Yes,,,,
Barry,England,midfielder,264,2,171,8,0,No,,,,
Carragher,England,defender,135,0,74,4,0,No,,,,
Crouch,England,forward,17,1,7,0,0,No,,,,
Defoe,England,forward,173,5,17,1,0,No,,,,
Gerrard,England,midfielder,360,10,227,5,0,Yes,,,,
Glen Johnson,England,defender,357,3,173,17,0,Yes,,,,
Green,England,goalkeeper,90,0,21,0,3,No,,,,
Heskey,England,forward,176,2,53,7,0,No,,,,
James,England,goalkeeper,270,0,72,0,6,No,,,,
Joe Cole,England,midfielder,44,1,26,0,0,No,,,,
King,England,defender,45,0,17,0,0,No,,,,
Lampard,England,midfielder,360,11,232,3,0,Yes,,,,
Lennon,England,midfielder,153,0,43,1,0,No,,,,
Milner,England,midfielder,185,1,57,6,0,No,,,,
Rooney,England,forward,342,8,121,2,0,No,,,,
Terry,England,defender,360,2,223,3,0,Yes,,,,
Upson,England,defender,180,1,93,4,0,No,,,,
Wright-Phillips,England,midfielder,89,2,29,2,0,No,,,,
Abidal,France,defender,180,0,91,6,0,No,,,,
Abou Diaby,France,midfielder,270,1,111,5,0,No,,,,
Alou Diarra,France,midfielder,82,0,31,0,0,No,,,,
Anelka,France,forward,117,7,37,1,0,No,,,,
Cisse,France,forward,55,3,7,1,0,No,,,,
Clichy,France,defender,90,0,46,2,0,No,,,,
Evra,France,defender,180,0,92,4,0,No,,,,
Gallas,France,defender,270,0,96,2,0,No,,,,
Gignac,France,forward,95,3,19,1,0,No,,,,
Gourcuff,France,midfielder,100,3,40,3,0,No,,,,
Govou,France,forward,162,1,35,4,0,No,,,,
Henry,France,forward,53,1,21,2,0,No,,,,
Lloris,France,goalkeeper,270,0,43,0,12,No,,,,
Malouda,France,midfielder,150,4,76,1,0,No,,,,
Ribery,France,midfielder,270,4,104,9,0,No,,,,
Sagna,France,defender,270,0,125,4,0,No,,,,
Squillaci,France,defender,90,0,34,1,0,No,,,,
Toulalan,France,midfielder,180,1,98,9,0,No,,,,
Valbuena,France,midfielder,21,1,11,1,0,No,,,,
Badstuber,Germany,defender,167,0,84,6,0,No,,,,
Boateng,Germany,defender,287,1,125,10,0,No,,,,
Cacau,Germany,forward,132,4,54,1,0,No,,,,
Friedrich,Germany,defender,540,1,244,16,0,Yes,,,,
Gomez,Germany,forward,57,2,18,0,0,No,,,,
Jansen,Germany,defender,73,1,44,3,0,No,,,,
Khedira,Germany,midfielder,517,6,279,16,0,Yes,,,,
Kiessling,Germany,forward,7,0,5,0,0,No,,,,
Klose,Germany,forward,356,11,83,4,0,Yes,,,,
Kroos,Germany,midfielder,50,2,29,4,0,No,,,,
Lahm,Germany,defender,540,0,360,17,0,Yes,,,,
Marin,Germany,midfielder,29,1,6,0,0,No,,,,
Mertesacker,Germany,defender,540,0,282,9,0,Yes,,,,
Mueller,Germany,forward,383,7,165,9,0,Yes,,,,
Neuer,Germany,goalkeeper,540,0,99,0,20,Yes,,,,
Podolski,Germany,forward,531,17,217,9,0,Yes,,,,
Schweinsteiger,Germany,midfielder,531,5,423,23,0,Yes,,,,
Trochowski,Germany,midfielder,109,1,60,5,0,No,,,,
Ozil,Germany,midfielder,497,7,266,3,0,Yes,,,,
Buffon,Italy,goalkeeper,45,0,4,0,0,No,,,,
Camoranesi,Italy,midfielder,76,2,45,2,0,No,,,,
Cannavaro,Italy,defender,270,0,138,11,0,No,,,,
Chiellini,Italy,defender,270,2,155,7,0,No,,,,
Criscito,Italy,defender,225,1,114,6,0,No,,,,
De Rossi,Italy,midfielder,270,3,204,9,0,No,,,,
Di Natale,Italy,forward,153,6,55,2,0,No,,,,
Gattuso,Italy,midfielder,45,0,13,5,0,No,,,,
Gilardino,Italy,forward,117,1,32,0,0,No,,,,
Iaquinta,Italy,forward,270,5,48,3,0,No,,,,
Maggio,Italy,defender,45,0,21,1,0,No,,,,
Marchetti,Italy,goalkeeper,225,0,21,0,1,No,,,,
Marchisio,Italy,midfielder,120,0,57,2,0,No,,,,
Montolivo,Italy,midfielder,236,8,163,9,0,No,,,,
Pazzini,Italy,forward,29,0,6,0,0,No,,,,
Pepe,Italy,forward,225,3,100,5,0,No,,,,
Pirlo,Italy,midfielder,34,0,28,0,0,No,,,,
Quagliarella,Italy,forward,45,3,22,2,0,No,,,,
Zambrotta,Italy,defender,270,2,128,6,0,No,,,,
Afellay,Netherlands,midfielder,21,5,22,0,0,No,,,,
Boulahrouz,Netherlands,defender,180,0,81,8,0,No,,,,
Elia,Netherlands,forward,85,2,38,2,0,No,,,,
Heitinga,Netherlands,defender,540,0,259,10,0,Yes,,,,
Huntelaar,Netherlands,forward,48,1,12,0,0,No,,,,
Kuyt,Netherlands,forward,516,11,248,7,0,Yes,,,,
Mathijsen,Netherlands,defender,450,1,265,8,0,Yes,,,,
Ooijer,Netherlands,defender,90,0,30,2,0,No,,,,
Robben,Netherlands,forward,267,6,81,5,0,No,,,,
Sneijder,Netherlands,midfielder,532,15,279,7,0,Yes,,,,
Stekelenburg,Netherlands,goalkeeper,540,0,149,0,15,Yes,,,,
Van der Vaart,Netherlands,midfielder,257,8,122,4,0,No,,,,
Van der Wiel,Netherlands,defender,360,0,189,2,0,Yes,,,,
de Jong,Netherlands,midfielder,448,1,250,15,0,Yes,,,,
de Zeeuw,Netherlands,midfielder,47,0,37,2,0,No,,,,
van Bommel,Netherlands,midfielder,540,2,307,31,0,Yes,,,,
van Bronckhorst,Netherlands,defender,540,1,271,10,0,Yes,,,,
van Persie,Netherlands,forward,479,14,108,1,0,Yes,,,,
Almeida,Portugal,forward,136,5,42,3,0,No,,,,
Amorim,Portugal,midfielder,5,1,7,0,0,No,,,,
Bruno Alves,Portugal,defender,360,1,166,5,0,Yes,,,,
Carvalho,Portugal,defender,360,2,173,11,0,Yes,,,,
Danny,Portugal,forward,176,1,62,7,0,No,,,,
Deco,Portugal,midfielder,62,0,45,1,0,No,,,,
Duda,Portugal,defender,70,0,18,2,0,No,,,,
Eduardo,Portugal,goalkeeper,360,0,51,0,17,Yes,,,,
Ferreira,Portugal,defender,90,0,37,1,0,No,,,,
Fabio Coentrao,Portugal,defender,360,1,152,13,0,Yes,,,,
Liedson,Portugal,forward,121,4,27,2,0,No,,,,
Meireles,Portugal,midfielder,329,6,154,9,0,No,,,,
Mendes,Portugal,midfielder,224,0,117,9,0,No,,,,
Miguel,Portugal,defender,90,1,52,2,0,No,,,,
Pepe,Portugal,midfielder,136,1,43,3,0,No,,,,
Ricardo Costa,Portugal,defender,179,0,44,9,0,No,,,,
Ronaldo,Portugal,forward,360,18,91,3,0,Yes,,,,
Simao,Portugal,midfielder,217,2,76,7,0,No,,,,
Tiago,Portugal,midfielder,298,6,155,15,0,No,,,,
Veloso,Portugal,midfielder,26,1,30,1,0,No,,,,
Alonso,Spain,midfielder,506,9,465,18,0,Yes,,,,
Arbeloa,Spain,defender,13,0,12,0,0,No,,,,
Busquets,Spain,midfielder,511,0,466,15,0,Yes,,,,
Capdevila,Spain,defender,540,1,310,10,0,Yes,,,,
Casillas,Spain,goalkeeper,540,0,67,0,11,Yes,,,,
Fabregas,Spain,midfielder,94,1,116,2,0,No,,,,
Iniesta,Spain,midfielder,437,8,299,11,0,Yes,,,,
Javi Martuenez,Spain,midfielder,17,0,17,0,0,No,,,,
Jesus Navas,Spain,midfielder,118,4,61,1,0,No,,,,
Juan Mata,Spain,midfielder,20,1,16,0,0,No,,,,
Llorente,Spain,forward,31,2,12,0,0,No,,,,
Marchena,Spain,defender,8,0,1,0,0,No,,,,
Pedro Rodriguez,Spain,midfielder,116,5,80,0,0,No,,,,
Pique,Spain,defender,540,2,402,15,0,Yes,,,,
Puyol,Spain,defender,534,3,254,8,0,Yes,,,,
Ramos,Spain,defender,527,9,299,7,0,Yes,,,,
Silva,Spain,midfielder,66,2,42,2,0,No,,,,
Torres,Spain,forward,278,9,50,0,0,No,,,,
Villa,Spain,forward,529,22,169,2,0,Yes,,,,
Xavi,Spain,midfielder,515,4,563,6,0,Yes,,,,
